format:
number verbclassinstance numberedinstance propbankinstance numberedinstance
1 mix 0 join 0
2 dub 0 name 0
3 build 1 make 0
4 engender 0 cause 0
5 escape 0 enter 0
6 reflexive_appearance 0 show 0
7 say 2 say 0
8 begin 0 stop 0
9 bring 1 bring 0
10 see 0 hear 0
11 accompany 0 lead 0
12 give 0 sell 0
13 disappearance 0 die 0
14 admire 1 support 0
15 chit_chat 0 argue 0
16 characterize 1 classify 0
17 characterize 1 reject 0
18 exist 0 remain 0
19 funnel 1 dump 0
20 mix 1 mix 0
21 characterize 1 describe 0
22 begin 0 continue 0
23 other_cos 0 ease 0
24 begin 0 end 0
25 other_cos 0 lengthen 0
26 calibratable_cos 0 decline 0
27 appoint 0 consider 0
28 steal 0 capture 0
29 sight 0 watch 0
30 get 0 reach 0
31 equip 1 invest 0
32 appoint 0 elect 0
33 obtain 1 obtain 0
34 complete 0 complete 0
35 characterize 1 employ 0
36 put_direction 0 lift 0
37 create 0 manufacture 0
38 vehicle 1 jet 0
39 characterize 1 treat 0
40 other_cos 0 expand 0
41 obtain 0 receive 0
42 contiguous_location 1 follow 0
43 run 0 race 0
44 funnel 1 squeeze 0
45 give 0 give 0
46 escape 1 return 0
47 begin 0 begin 0
48 transcribe 0 record 0
49 say 2 announce 0
50 cost 0 cost 0
51 put_direction 0 lower 0
52 future_having 0 award 0
53 judgement 0 reward 0
54 register 0 total 0
55 give 0 pay 0
56 get 0 gain 0
57 say 2 propose 0
58 other_cos 0 improve 0
59 appear 0 come 0
60 assessment 0 evaluate 0
61 amuse 0 worry 0
62 appear 0 emerge 0
63 fill 1 clutter 0
64 ferret 0 seek 0
65 other_cos 0 operate 0
66 give 0 refund 0
67 contiguous_location 1 underlie 0
68 correspond 1 dispute 0
69 assessment 0 audit 0
70 dub 0 rule 0
71 mix 0 add 1
72 put 0 set 0
73 price 0 estimate 0
74 image_impression 0 set 1
75 run 0 inch 0
76 appear 0 arise 0
77 other_cos 0 double 0
78 exist 0 depend 0
79 tape 0 tie 0
80 pocket 1 file 0
81 fulfilling 0 provide 0
82 shake 3 attach 0
83 want 1 need 0
84 dub 0 call 0
85 calibratable_cos 0 jump 0
86 correspond 1 compete 0
87 price 0 price 0
88 occurrence 0 occur 0
89 admire 1 favor 0
90 send 1 post 0
91 appear 0 come 1
92 say 2 claim 0
93 put 0 place 0
94 amuse 0 offend 0
95 judgement 0 laud 0
96 chase 0 pursue 0
97 appoint 0 deem 0
98 mix 1 combine 0
99 amuse 0 concern 0
100 complain 0 complain 0
101 other_cos 0 accelerate 0
102 appear 0 develop 0
