format:
number wordrootinstance numberedinstance verbclassinstance numberedinstance
1 call 12 dub 0
2 call 18 dub 0
3 make 13 dub 0
4 pronounce 1 dub 0
5 diverge 2 differ 0
6 diverge 0 differ 0
7 break 26 hurt 0
8 break 21 hurt 0
9 fracture 5 hurt 0
10 fracture 3 hurt 0
11 coin 0 create 0
12 compose 3 create 0
13 concoct 0 create 0
14 create 1 create 0
15 form 1 create 0
16 model 0 create 0
17 burn 3 entity_specific_cos 0
18 decay 0 entity_specific_cos 0
19 erode 1 entity_specific_cos 0
20 swell 3 entity_specific_cos 0
21 knight 0 orphan 0
22 pass 1 send 0
23 send 2 send 0
24 send 1 send 0
25 slip 2 send 0
26 feel 2 stimulus_subject 0
27 look 2 stimulus_subject 0
28 look 3 stimulus_subject 0
29 smell 1 stimulus_subject 0
30 sound 5 stimulus_subject 0
31 taste 1 stimulus_subject 0
32 hang 9 put_spatial 0
33 hang 5 put_spatial 0
34 hang 8 put_spatial 0
35 rest 3 put_spatial 0
36 rest 1 put_spatial 0
37 sit 1 put_spatial 0
38 stand 9 put_spatial 0
39 stand 2 put_spatial 0
40 assemble 1 herd 0
41 flock 0 herd 0
42 herd 1 herd 0
43 huddle 0 herd 0
44 address 4 illustrate 0
45 brand 1 illustrate 0
46 date 2 illustrate 0
47 date 3 illustrate 0
48 smell 3 stalk 0
49 stalk 1 stalk 0
50 mount 1 put 0
51 accelerate 0 other_cos 0
52 advance 3 other_cos 0
53 advance 5 other_cos 0
54 age 0 other_cos 0
55 americanize 1 other_cos 0
56 awaken 0 other_cos 0
57 balance 1 other_cos 0
58 blacken 0 other_cos 0
59 brighten 0 other_cos 0
60 broaden 1 other_cos 0
61 burn 9 other_cos 0
62 burn 3 other_cos 0
63 burn 3 other_cos 0
64 burn 1 other_cos 0
65 burst 3 other_cos 0
66 burst 0 other_cos 0
67 calcify 3 other_cos 0
68 calcify 2 other_cos 0
69 caramelize 1 other_cos 0
70 change 2 other_cos 0
71 change 0 other_cos 0
72 chill 0 other_cos 0
73 clean 20 other_cos 0
74 clean 17 other_cos 0
75 clean 17 other_cos 0
76 clear 15 other_cos 0
77 clear 28 other_cos 0
78 close 14 other_cos 0
79 close 22 other_cos 0
80 collapse 3 other_cos 0
81 compress 1 other_cos 0
82 condense 0 other_cos 0
83 condense 3 other_cos 0
84 condense 5 other_cos 0
85 condense 1 other_cos 0
86 contract 0 other_cos 0
87 contract 0 other_cos 0
88 cool 8 other_cos 0
89 corrode 1 other_cos 0
90 crystallize 0 other_cos 0
91 darken 1 other_cos 0
92 decelerate 1 other_cos 0
93 decompose 0 other_cos 0
94 decrease 0 other_cos 0
95 deepen 1 other_cos 0
96 deflate 5 other_cos 0
97 democratize 1 other_cos 0
98 destabilize 1 other_cos 0
99 dim 4 other_cos 0
100 dim 4 other_cos 0
101 dissolve 6 other_cos 0
102 drain 2 other_cos 0
103 dry 16 other_cos 0
104 dull 12 other_cos 0
105 dull 11 other_cos 0
106 empty 5 other_cos 0
107 emulsify 1 other_cos 0
108 enlarge 1 other_cos 0
109 enlarge 0 other_cos 0
110 explode 3 other_cos 0
111 fade 1 other_cos 0
112 fade 0 other_cos 0
113 fill 2 other_cos 0
114 flatten 2 other_cos 0
115 freeze 5 other_cos 0
116 freeze 6 other_cos 0
117 freshen 0 other_cos 0
118 fructify 2 other_cos 0
119 fuse 2 other_cos 0
120 fuse 1 other_cos 0
121 gelatinize 2 other_cos 0
122 gladden 1 other_cos 0
123 granulate 2 other_cos 0
124 grow 1 other_cos 0
125 grow 3 other_cos 0
126 halt 0 other_cos 0
127 harden 0 other_cos 0
128 harmonize 3 other_cos 0
129 harmonize 4 other_cos 0
130 heat 0 other_cos 0
131 heighten 1 other_cos 0
132 heighten 0 other_cos 0
133 heighten 2 other_cos 0
134 hush 2 other_cos 0
135 ignite 0 other_cos 0
136 increase 0 other_cos 0
137 inflate 0 other_cos 0
138 intensify 1 other_cos 0
139 kindle 1 other_cos 0
140 lengthen 1 other_cos 0
141 level 5 other_cos 0
142 liquefy 2 other_cos 0
143 loop 3 other_cos 0
144 loosen 1 other_cos 0
145 macerate 1 other_cos 0
146 macerate 2 other_cos 0
147 magnify 0 other_cos 0
148 mature 3 other_cos 0
149 mellow 5 other_cos 0
150 mellow 3 other_cos 0
151 melt 2 other_cos 0
152 multiply 2 other_cos 0
153 neutralize 4 other_cos 0
154 neutralize 1 other_cos 0
155 nitrify 1 other_cos 0
156 open 13 other_cos 0
157 open 21 other_cos 0
158 operate 1 other_cos 0
159 overturn 0 other_cos 0
160 petrify 0 other_cos 0
161 polarize 1 other_cos 0
162 polarize 2 other_cos 0
163 proliferate 1 other_cos 0
164 propagate 5 other_cos 0
165 propagate 5 other_cos 0
166 purple 2 other_cos 0
167 ripen 1 other_cos 0
168 scorch 2 other_cos 0
169 sharpen 2 other_cos 0
170 silver 4 other_cos 0
171 sink 3 other_cos 0
172 slack 3 other_cos 0
173 slack 2 other_cos 0
174 slacken 1 other_cos 0
175 soak 3 other_cos 0
176 soak 3 other_cos 0
177 sober 1 other_cos 0
178 soften 2 other_cos 0
179 solidify 1 other_cos 0
180 sour 3 other_cos 0
181 splay 1 other_cos 0
182 stabilize 0 other_cos 0
183 steepen 1 other_cos 0
184 stiffen 1 other_cos 0
185 straighten 1 other_cos 0
186 strengthen 1 other_cos 0
187 stretch 4 other_cos 0
188 submerge 2 other_cos 0
189 submerge 0 other_cos 0
190 subside 2 other_cos 0
191 tame 3 other_cos 0
192 tauten 1 other_cos 0
193 thicken 1 other_cos 0
194 thicken 0 other_cos 0
195 thin 6 other_cos 0
196 thin 5 other_cos 0
197 tighten 1 other_cos 0
198 tire 1 other_cos 0
199 vary 0 other_cos 0
200 vibrate 0 other_cos 0
201 vitrify 1 other_cos 0
202 warm 7 other_cos 0
203 weaken 1 other_cos 0
204 widen 1 other_cos 0
205 worsen 0 other_cos 0
206 sweep 1 meander 0
207 distribute 1 contribute 0
208 distribute 1 contribute 0
209 return 2 contribute 1
210 abound 0 swarm 0
211 hang 8 spray 0
212 plaster 4 spray 0
213 plaster 1 spray 0
214 pump 1 spray 0
215 seed 4 spray 0
216 smear 1 spray 0
217 sow 0 spray 0
218 spatter 0 spray 0
219 splash 0 spray 0
220 spray 2 spray 0
221 spray 1 spray 0
222 spritz 0 spray 0
223 stick 8 spray 0
224 string 0 spray 0
225 swab 0 spray 0
226 wash 2 spray 0
227 spurt 0 spray 0
228 wrap 0 spray 0
229 drape 0 spray 1
230 load 1 spray 1
231 dab 1 spray 1
232 daub 1 spray 1
233 dust 2 spray 1
234 stack 2 spray 1
235 stock 6 spray 1
236 spar 3 battle 0
237 grope 1 rummage 0
238 listen 0 rummage 0
239 look 3 rummage 0
240 consume 3 devour 1
241 devour 2 devour 1
242 rate 0 price 0
243 pulp 1 pit 0
244 seed 4 pit 0
245 string 6 pit 0
246 celebrate 0 judgement 0
247 commend 4 judgement 0
248 compliment 0 judgement 0
249 excuse 4 judgement 0
250 excuse 2 judgement 0
251 hail 2 judgement 0
252 honor 1 judgement 0
253 salute 0 judgement 0
254 deprecate 1 judgement 0
255 reprimand 0 judgement 0
256 victimize 2 judgement 0
257 bail 3 wipe_manner 0
258 bail 4 wipe_manner 0
259 pluck 2 wipe_manner 0
260 scour 1 wipe_manner 0
261 scrape 2 wipe_manner 0
262 strip 1 wipe_manner 0
263 suck 2 wipe_manner 0
264 wash 5 wipe_manner 0
265 wash 10 wipe_manner 0
266 semaphore 1 instr_communication 0
267 sign 2 instr_communication 0
268 sign 5 instr_communication 0
269 hold 14 conjecture 0
270 know 6 conjecture 0
271 jab 1 poke 0
272 pierce 3 poke 0
273 pierce 2 poke 0
274 hope 2 long 0
275 hunger 0 long 0
276 listen 0 peer 0
277 look 3 peer 0
278 cook 3 build 0
279 cook 0 build 0
280 crochet 1 build 0
281 develop 11 build 0
282 develop 11 build 0
283 forge 0 build 0
284 mold 0 build 0
285 explain 0 transfer_mesg 0
286 preach 0 transfer_mesg 0
287 happen 0 occurrence 0
288 heave 1 push 0
289 drop 11 put_direction 0
290 hoist 0 put_direction 0
291 explore 2 investigate 0
292 investigate 1 investigate 0
293 scan 4 investigate 0
294 adhere 3 cling 0
295 cleave 1 cling 0
296 cling 2 cling 0
297 confess 1 say 0
298 declare 3 say 0
299 repeat 1 say 0
300 report 1 say 0
301 heave 1 carry 0
302 kick 3 carry 0
303 discover 1 conjecture 1
304 guarantee 0 conjecture 1
305 wrinkle 0 bend 0
306 charge 10 equip 1
307 invest 2 equip 1
308 regret 2 admire 0
309 like 5 admire 0
310 like 2 admire 0
311 love 2 admire 0
312 love 0 admire 0
313 enjoy 1 admire 0
314 fear 3 admire 0
315 smell 3 see 0
316 taste 3 see 0
317 dispatch 1 murder 0
318 execute 1 murder 0
319 agree 1 correspond 0
320 move 5 slide 0
321 coexist 1 exist 0
322 exist 0 exist 0
323 extend 5 exist 0
324 loom 1 exist 0
325 lurk 0 exist 0
326 prevail 3 exist 0
327 remain 0 exist 0
328 reside 0 exist 0
329 stay 3 exist 0
330 stay 0 exist 0
331 begin 1 begin 1
332 begin 1 begin 1
333 resume 0 begin 1
334 anchor 1 tape 0
335 lash 1 tape 0
336 loop 3 tape 0
337 moor 2 tape 0
338 string 5 tape 0
339 tie 3 tape 0
340 yoke 2 tape 0
341 pull 5 push 1
342 pull 7 push 1
343 tug 4 push 1
344 tug 5 push 1
345 tug 1 push 1
346 play 15 performance 0
347 play 21 performance 0
348 play 2 performance 0
349 play 22 performance 0
350 play 23 performance 0
351 play 6 performance 0
352 recite 0 performance 0
353 sing 2 performance 0
354 integrate 0 amalgamate 0
355 change 2 turn 0
356 convert 3 turn 0
357 convert 2 turn 0
358 convert 1 turn 0
359 convert 7 turn 0
360 turn 14 turn 0
361 turn 6 turn 0
362 pair 2 amalgamate 1
363 compare 0 amalgamate 1
364 confuse 2 amalgamate 1
365 integrate 0 amalgamate 1
366 awaken 0 appear 0
367 break 21 appear 0
368 break 26 appear 0
369 break 7 appear 0
370 come 6 appear 0
371 come 2 appear 0
372 emerge 0 appear 0
373 erupt 3 appear 0
374 erupt 1 appear 0
375 flow 1 appear 0
376 form 2 appear 0
377 open 16 appear 0
378 rise 4 appear 0
379 spread 5 appear 0
380 banish 2 banish 0
381 banish 3 banish 0
382 evacuate 3 banish 0
383 expel 0 banish 0
384 remove 3 banish 0
385 book 0 get 0
386 call 8 get 0
387 catch 4 get 0
388 choose 1 get 0
389 find 4 get 0
390 hire 0 get 0
391 pick 1 get 0
392 pluck 2 get 0
393 drive 10 drive 0
394 end 2 stop 0
395 stop 0 stop 0
396 hit 6 bump 0
397 distill 2 wipe_manner 1
398 shave 0 wipe_manner 1
399 shave 2 wipe_manner 1
400 shave 4 wipe_manner 1
401 trim 2 wipe_manner 1
402 whisk 2 wipe_manner 1
403 wring 0 wipe_manner 1
404 flap 1 body_internal_motion 0
405 gyrate 0 body_internal_motion 0
406 totter 0 body_internal_motion 0
407 twitch 0 body_internal_motion 0
408 diagnose 0 characterize 1
409 certify 1 characterize 1
410 hail 2 characterize 1
411 take 17 characterize 1
412 adopt 1 characterize 1
413 adopt 2 characterize 1
414 classify 0 characterize 1
415 enlist 0 characterize 1
416 fowl 1 berry 0
417 nest 2 berry 0
418 snipe 0 berry 0
419 sponge 3 berry 0
420 break 9 break 0
421 break 7 break 0
422 break 7 break 0
423 break 21 break 0
424 chip 1 break 0
425 chip 3 break 0
426 crack 2 break 0
427 crack 7 break 0
428 crash 8 break 0
429 crash 6 break 0
430 crash 8 break 0
431 crush 1 break 0
432 fracture 5 break 0
433 fracture 3 break 0
434 shatter 0 break 0
435 smash 5 break 0
436 snap 2 break 0
437 tear 2 break 0
